Altium Designer Pick and Place Locations
C:\Users\louis\Documents\PCB ADVANCED\PCB-ADVANCED\PCB_ADVANCED\Project Outputs for PCB_ADVANCED\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       10-11-23
Time:       18:41
Revision:   f0eac10d58163776ec34bea95404fcb7fd4c51e0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D611","ESD prot","BottomLayer","SOT457","5.6339","48.7498","180","NEXPERIA BZA462A,125"
"D610","ESD prot","TopLayer","SOT457","19.1500","48.7498","360","NEXPERIA BZA462A,125"
"D609","ESD prot","BottomLayer","SOT457","5.8356","73.0498","180","NEXPERIA BZA462A,125"
"D608","ESD prot","TopLayer","SOT457","19.1500","72.9998","360","NEXPERIA BZA462A,125"
"SW607","SPDT SW","TopLayer","SPDT_SWITCH","11.5920","88.6728","90",""
"SW606","SPDT SW","TopLayer","SPDT_SWITCH","20.3913","88.6728","90",""
"SW605","SPDT SW","TopLayer","SPDT_SWITCH","29.1906","88.6728","90",""
"SW604","SPDT SW","TopLayer","SPDT_SWITCH","37.9899","88.6728","90",""
"SW603","SPDT SW","TopLayer","SPDT_SWITCH","46.7892","88.6728","90",""
"SW602","SPDT SW","TopLayer","SPDT_SWITCH","55.5885","88.6728","90",""
"SW601","SPDT SW","TopLayer","SPDT_SWITCH","64.3878","88.6728","90",""
"SW600","SPDT SW","TopLayer","SPDT_SWITCH","73.1870","88.6728","90",""
"SW400","SPDT SW","TopLayer","SPDT_SWITCH","5.3450","17.6798","90",""
"R501","470 DNP","TopLayer","RES_0603","53.7320","74.9568","180","Resistor Enable pullup BANK FPGA"
"R500","470","TopLayer","RES_0603","53.7320","76.9888","360","Resistor"
"X500","XLH535100.000000I","TopLayer","5X3.2MM_CRYSTAL","56.1450","58.1928","180","12Mhz oscillator"
"R502","22","TopLayer","RES_0603","52.9700","58.1928","90","Resistor"
"C514","100n","TopLayer","CAP_0603","56.1450","60.9868","360","Capacitor"
"U301","93LC56B/SN","TopLayer","SOIC8","15.6610","7.8111","270","2K, 128x16-bit, 2.5V Microwire Serial EEPROM, 8-Pin SOIC 150mil, Commercial Temperature"
"C313","4.7u","TopLayer","CAP_0603","11.3050","21.1088","90","Capacitor"
"C310","4.7u","BottomLayer","CAP_0603","17.4500","26.2998","360","Capacitor"
"C307","4.7u","BottomLayer","CAP_0603","17.4500","27.7998","360","Capacitor"
"C109","4.7u","TopLayer","CAP_0603","52.4860","21.7438","360","Capacitor"
"C101","100n","TopLayer","CAP_0603","52.4860","19.8388","360","Capacitor"
"C100","10n","TopLayer","CAP_0603","52.4620","17.9338","360","Capacitor"
"R411","470","TopLayer","RES_0603","72.6406","7.2658","180","Resistor"
"R402","470","TopLayer","RES_0603","72.6406","11.3722","180","Resistor"
"L102","2.2uH","TopLayer","IND4x4mm","57.5146","29.2898","90","Inductor"
"L101","2.2uH","TopLayer","IND4x4mm","73.0231","29.3518","90","Inductor"
"L100","2.2uH","TopLayer","IND4x4mm","65.1303","29.2898","90","Inductor"
"FB301","180R","TopLayer","CAP_0805","23.1250","25.6998","180","Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"
"FB300","180R","TopLayer","CAP_0805","23.0500","30.0998","180","Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"
"FB100","180R","TopLayer","CAP_0805","54.2521","15.6478","360","Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"
"F605","Fiducial","BottomLayer","Fiducial30mil","5.0000","89.9998","90","30mil Fiducial"
"F604","Fiducial","BottomLayer","Fiducial30mil","78.5000","89.9998","90","30mil Fiducial"
"F603","Fiducial","BottomLayer","Fiducial30mil","5.0000","9.9998","90","30mil Fiducial"
"C208","4.7u","BottomLayer","CAP_0402","43.6990","59.8438","270","Capacitor"
"C205","4.7u","BottomLayer","CAP_0402","39.8890","63.0188","270","Capacitor"
"C201","4.7u","BottomLayer","CAP_0402","46.6200","58.0658","270","Capacitor"
"C108","10uF","TopLayer","CAP_1210","57.1455","41.6812","270","Capacitor"
"C106","15uF","TopLayer","CAP_1210","73.6500","41.4998","270","Capacitor"
"C104","10uF","TopLayer","CAP_1210","65.1500","41.4998","270","Capacitor"
"R614","22","BottomLayer","RES_0603","18.1501","51.7045","0","Resistor"
"R607","22","BottomLayer","RES_0603","18.1501","45.3931","180","Resistor"
"R631","12K","TopLayer","RES_0603","8.2500","83.4998","90","Resistor"
"R629","12K","TopLayer","RES_0603","24.8383","83.3388","90","Resistor"
"R627","12K","TopLayer","RES_0603","42.4410","83.3388","90","Resistor"
"R620","470","TopLayer","RES_0603","51.2423","91.9918","270","Resistor"
"R618","470","TopLayer","RES_0603","68.8450","91.9918","270","Resistor"
"R612","22","BottomLayer","RES_0603","18.4000","77.9955","0","Resistor"
"R602","22","BottomLayer","RES_0603","18.1501","39.0817","0","Resistor"
"R624","470","TopLayer","RES_0603","16.0370","91.9918","270","Resistor"
"R606","22","BottomLayer","RES_0603","18.1501","43.2893","0","Resistor"
