Altium Designer Pick and Place Locations
C:\Users\louis\Documents\Github\PCB ADVANCED\PCB-ADVANCED\PCB_ADVANCED\Project Outputs for PCB_ADVANCED\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       08/11/23
Time:       11:48
Revision:   5f069ed209dc83b52a71c7c1665099763155299c
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                   
D611       "ESD prot"            BottomLayer SOT457                 221.808       1919.285      180      "NEXPERIA BZA462A,125"                                                                                                                                        
D610       "ESD prot"            TopLayer    SOT457                 753.939       1919.285      360      "NEXPERIA BZA462A,125"                                                                                                                                        
D609       "ESD prot"            BottomLayer SOT457                 229.748       2875.978      180      "NEXPERIA BZA462A,125"                                                                                                                                        
D608       "ESD prot"            TopLayer    SOT457                 753.939       2874.009      360      "NEXPERIA BZA462A,125"                                                                                                                                        
SW607      "SPDT SW"             TopLayer    SPDT_SWITCH            456.380       3491.056      90       ""                                                                                                                                                            
SW606      "SPDT SW"             TopLayer    SPDT_SWITCH            802.808       3491.056      90       ""                                                                                                                                                            
SW605      "SPDT SW"             TopLayer    SPDT_SWITCH            1149.237      3491.056      90       ""                                                                                                                                                            
SW604      "SPDT SW"             TopLayer    SPDT_SWITCH            1495.665      3491.056      90       ""                                                                                                                                                            
SW603      "SPDT SW"             TopLayer    SPDT_SWITCH            1842.094      3491.056      90       ""                                                                                                                                                            
SW602      "SPDT SW"             TopLayer    SPDT_SWITCH            2188.522      3491.056      90       ""                                                                                                                                                            
SW601      "SPDT SW"             TopLayer    SPDT_SWITCH            2534.951      3491.056      90       ""                                                                                                                                                            
SW600      "SPDT SW"             TopLayer    SPDT_SWITCH            2881.379      3491.056      90       ""                                                                                                                                                            
SW400      ""                    TopLayer    SPDT_SWITCH            210.435       696.056       90       ""                                                                                                                                                            
R501       ""                    TopLayer    RES_0603               2115.435      2951.056      180      Resistor                                                                                                                                                      
R500       ""                    TopLayer    RES_0603               2115.435      3031.056      360      Resistor                                                                                                                                                      
X500       XLH535100.000000I     TopLayer    5X3.2MM_CRYSTAL        2210.435      2291.056      180      "12Mhz oscillator"                                                                                                                                            
R502       ""                    TopLayer    RES_0603               2085.435      2291.056      90       Resistor                                                                                                                                                      
C514       ""                    TopLayer    CAP_0603               2210.435      2401.056      360      Capacitor                                                                                                                                                     
U301       93LC56B/SN            TopLayer    SOIC8                  616.576       307.525       270      "2K, 128x16-bit, 2.5V Microwire Serial EEPROM, 8-Pin SOIC 150mil, Commercial Temperature"                                                                     
C313       ""                    TopLayer    CAP_0603               445.080       831.056       90       Capacitor                                                                                                                                                     
C310       ""                    BottomLayer CAP_0603               687.010       1035.426      360      Capacitor                                                                                                                                                     
C307       ""                    BottomLayer CAP_0603               687.010       1094.482      360      Capacitor                                                                                                                                                     
C109       ""                    TopLayer    CAP_0603               2066.380      856.056       360      Capacitor                                                                                                                                                     
C101       ""                    TopLayer    CAP_0603               2066.380      781.056       360      Capacitor                                                                                                                                                     
C100       ""                    TopLayer    CAP_0603               2065.435      706.056       360      Capacitor                                                                                                                                                     
R411       ""                    TopLayer    RES_0603               2859.867      286.056       180      Resistor                                                                                                                                                      
R402       ""                    TopLayer    RES_0603               2859.867      447.723       180      Resistor                                                                                                                                                      
L102       ""                    TopLayer    IND4x4mm               2264.353      1153.143      90       Inductor                                                                                                                                                      
L101       ""                    TopLayer    IND4x4mm               2874.923      1155.584      90       Inductor                                                                                                                                                      
L100       ""                    TopLayer    IND4x4mm               2564.184      1153.143      90       Inductor                                                                                                                                                      
FB301      180R                  TopLayer    CAP_0805               910.435       1011.804      180      "Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"                                                                                                  
FB300      180R                  TopLayer    CAP_0805               907.482       1185.033      180      "Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"                                                                                                  
FB100      180R                  TopLayer    CAP_0805               2135.907      616.056       360      "Chip Ferrite Bead, 0402, 1000O @ 100MHz, 0.65O, 25%, 300mA"                                                                                                  
F605       ""                    BottomLayer Fiducial30mil          196.852       3543.300      90       "30mil Fiducial"                                                                                                                                              
F604       ""                    BottomLayer Fiducial30mil          3090.553      3543.300      90       "30mil Fiducial"                                                                                                                                              
F603       ""                    BottomLayer Fiducial30mil          196.852       393.694       90       "30mil Fiducial"                                                                                                                                              
C208       ""                    BottomLayer CAP_0402               1720.435      2356.056      270      Capacitor                                                                                                                                                     
C205       ""                    BottomLayer CAP_0402               1570.435      2481.056      270      Capacitor                                                                                                                                                     
C201       ""                    BottomLayer CAP_0402               1835.435      2286.056      270      Capacitor                                                                                                                                                     
C108       ""                    TopLayer    CAP_1210               2249.825      1640.993      270      Capacitor                                                                                                                                                     
C106       ""                    TopLayer    CAP_1210               2899.608      1633.852      270      Capacitor                                                                                                                                                     
C104       ""                    TopLayer    CAP_1210               2564.962      1633.851      270      Capacitor                                                                                                                                                     
R614       ""                    BottomLayer RES_0603               714.569       2035.611      0        Resistor                                                                                                                                                      
R607       ""                    BottomLayer RES_0603               714.569       1787.130      180      Resistor                                                                                                                                                      
R631       ""                    TopLayer    RES_0603               324.805       3287.395      90       Resistor                                                                                                                                                      
R629       ""                    TopLayer    RES_0603               977.885       3281.056      90       Resistor                                                                                                                                                      
R627       ""                    TopLayer    RES_0603               1670.905      3281.056      90       Resistor                                                                                                                                                      
